Timestamp,Open,High,Low,Close,Volume,Turnover,SuperTrendIndicator_trend,SuperTrendIndicator_value,RsiIndicator,AtrIndicator,BollingerIndicator_middle,BollingerIndicator_upper,BollingerIndicator_lower,BollingerIndicator_pb,KeltnerIndicator_middle,KeltnerIndicator_upper,KeltnerIndicator_lower,MacdIndicator_MACD,MacdIndicator_signal,MacdIndicator_histogram,WilliamsRIndicator,KsiIndicator_kst,KsiIndicator_signal,MfiIndicator,ObvIndicator,Ema4Indicator_ema8,Ema4Indicator_ema13,Ema4Indicator_ema21,Ema4Indicator_ema55,Ema4Indicator_ema100,Ema4Indicator_ema200,Ema10And20_ema10,Ema10And20_ema20,Sma3Indicator_sma1,Sma3Indicator_sma2,Sma3Indicator_sma3,AdlIndicator,AdxIndicator_adx,AdxIndicator_pdi,AdxIndicator_mdi,AwesomeOscillatorIndicator,CciIndicator,StochasticIndicator_k,StochasticIndicator_d,IchimokuCloudIndicator_conversion,IchimokuCloudIndicator_base,IchimokuCloudIndicator_spanA,IchimokuCloudIndicator_spanB,WildersSmoothingWeighteMovingAvg,WeighteMovingAvg,VolumeWeightedAvgPrice,TrixIndicator,ForceIndexIndiactor,RocIndicator,PsarIndicator,EMAIndicator,SmaIndicator,ZScore_o,ZScore_h,ZScore_l,ZScore_c,ZScore_v,ZEMAIndicator
1747090800000,102862.4,103140.4,102787.7,102787.8,278.688162,28693427.38548633,short,104299.3870845,44.67,704.520916,103376.665,105251.6917,101501.6383,0.3429715694,103204.7486,104613.79043200001,101795.706768,-764.9891026,-447.2366097,-317.7524929,-47.581776,-13.83129268,-7.907879832,31.86,5978.543924999999,102701.0954,102893.6224,103163.3158,103389.94,102620.9553,99764.52085,102773.1869,103135.5398,103839.338,103509.523,99822.9525,3856,20.32252799,21.51759146,24.43381827,-1268.6,-39.31969997779099,52.418224,50.18819092,101968.85,103289.45000000001,102629.15000000001,103289.45000000001,102696.4518,102577.9603,100265.35889244133,-0.03307960376,-20790.13689,-0.9438435267,103576.62961983746,99764.52085,103839.338,-1.3023541721814973,-1.3725854877908799,-0.9135650416834717,-1.3685846119584844,-0.6643305188911888,102735.2137
1747094400000,102787.8,102792.3,102167.14,102270.9,363.455334,37243120.77686118,short,104299.3870845,40.31,700.7418247,103286.775,105192.5989,101380.9511,0.2334814093,103172.144,104573.6276494,101770.6603506,-842.1467949,-529.4372507,-312.7095442,-60.76026821,-14.64304948,-9.403429208,32.97,5615.088590999999,102605.4964,102804.662,103082.1871,103349.9743,102614.0236,99789.45995,102681.862,103053.1932,103813.024,103506.147,99857.6105,3613,20.14939865,20.2017114,29.00997134,-1085.2,-71.03413487371998,39.23973179,48.54515294,101936.1,103289.45000000001,102612.77500000001,103289.45000000001,102687.9408,102500.5,100272.71619434489,-0.03633030258,-187870.0621,-1.566718352,103349.04325025047,99789.45995,103813.024,-1.3685846119584844,-1.790769193683358,-1.6739003967667427,-1.9879081598335813,-0.45759277383851743,102642.351
1747098000000,102270.9,102718.2,102074.5,102390.4,522.727321,53547537.52394855,short,104299.3870845,41.73,698.0255474,103208.6,105126.7778,101290.4222,0.2867246717,103135.5398,104531.5908948,101739.4887052,-936.8961538,-616.5754986,-320.3206553,-57.5121039,-15.05803883,-10.78780442,34.55,6137.815911999999,102557.6972,102745.4818,103019.2974,103315.7038,102609.5954,99815.33995,102628.8689,102990.07,103764.834,103501.783,99892.5605,3603,20.10267121,18.91880946,28.0816498,-1014.8,-66.1786989531859,42.4878961,44.71528396,101936.1,103289.45000000001,102612.77500000001,103289.45000000001,102681.9899,102462.2936,100283.1322098994,-0.0392088196,62465.91486,-1.852421664,103140.4,99815.33995,103764.834,-1.9879081598335813,-1.83737590522469,-1.727891167776742,-1.7646516898009224,-0.09128503503223091,102591.9608
1747101600000,102390.4,102708.1,101694,102066.7,689.541235,70405191.5818723,short,104299.3870845,39.03,713.0767118,103092.95,104993.5811,101192.3189,0.2300238852,103053.1932,104479.3466236,101627.0397764,-901.5403846,-693.7069088,-207.8334758,-65.80423701,-15.89736744,-12.07489446,35.69,5448.274676999999,102448.5867,102648.5129,102932.6976,103271.0965,102598.845,99837.74154,102526.6564,102902.13,103717.646,103492.252,99926.026,3421,20.51470771,17.07870608,28.9997465,-1033.18,-77.93720083395084,34.19576299,38.64113029,101936.1,103289.45000000001,102612.77500000001,103289.45000000001,102669.6842,102399.0628,100295.18474250876,-0.04205074145,-223204.4978,-0.7198940148,102947.712,99837.74154,103717.646,-1.7646516898009224,-1.7991181073775295,-2.0947300932417035,-2.0783706144334144,0.28805131482487717,102486.9086
1747105200000,102066.7,102162,101436.2,101707.7,432.501742,44005045.5519602,short,104069.1709156,36.23,713.6825826,102954.83,104836.4689,101073.1911,0.1686053844,102990.07,104417.4351652,101562.70483480001,-882.2897436,-753.2925214,-128.9972222,-73.31856955,-16.92980946,-13.20610427,26.47,5015.772934999999,102283.9452,102514.1111,102821.3342,103215.2609,102581.1985,99856.34809,102377.7552,102788.3748,103668.894,103476.68,99956.6665,3312,21.18657928,15.88765833,29.45442091,-1139.77,-103.91463788998593,26.68143045,34.45502985,102288.29999999999,103289.45000000001,102788.875,103289.45000000001,102650.4445,102290.0897,100301.10748350031,-0.04513453496,-155268.1254,-0.7993000882,102770.43904,99856.34809,103668.894,-2.0783706144334144,-2.3733742050930022,-2.2617798077019025,-2.3681181255052777,-0.33901356897687485,102331.0669
1747108800000,101707.7,102764.9,101605.9,102740.3,418.967628,42856050.1384183,short,104069.1709156,47.83,734.8881739,102861.14,104582.7738,101139.5062,0.4649054288,102902.13,104371.9063478,101432.3536522,-846.9096154,-794.0729345,-52.83668091,-18.81896447,-16.77851083,-14.08222269,35.37,5434.740562999999,102385.3574,102546.4238,102813.9674,103198.298,102584.349,99885.04413,102443.6725,102783.7962,103648.63,103475.957,99991.761,3713,20.68805096,19.75683555,26.30024987,-1232.04,-49.11572736205474,81.18103553,47.35274299,102288.29999999999,103289.45000000001,102788.875,103289.45000000001,102652.2416,102350.4846,100309.1336368496,-0.04708483567,432625.9727,-0.10801992,100731.8,99885.04413,103648.63,-2.3681181255052777,-1.5634871944687283,-1.9596640659839373,-1.1132732274596795,-0.38378530109882436,102412.9135
1747112400000,102740.3,102740.3,102268.1,102465.1,217.011851,22244970.34047391,short,104069.1709156,45.45,722.3792133,102761.89,104327.467,101196.313,0.4052138604,102788.3748,104233.13322660001,101343.6163734,-792.4589744,-818.8047009,26.3457265,-28.03703396,-16.19446525,-14.75354879,43.17,5217.728711999999,102403.078,102534.8061,102782.2522,103172.1124,102581.9877,99910.71633,102447.5684,102753.4442,103617.88,103469.795,100025.7415,3677,20.22513181,18.87021298,25.11998013,-1168.24,-32.829832852211105,71.96296604,59.94181067,102288.29999999999,103289.45000000001,102788.875,103289.45000000001,102648.4987,102369.9654,100313.50870892334,-0.04841755844,-59721.6614,-0.1034403419,100772.462,99910.71633,103617.88,-1.1132732274596795,-1.5353905215660741,-1.1776738660696824,-1.3857573606844602,-0.8698167089120582,102423.3508
1747116000000,102465.1,102682.3,102330,102549.9,188.035074,19281288.71627933,short,104069.1709156,46.34,704.7563936,102662.545,104000.6334,101324.4566,0.4579082369,102783.7962,104193.3089872,101374.2834128,-656.7269231,-818.6341168,161.9071937,-24.51631653,-15.86107242,-15.26676438,39.24,5405.7637859999995,102435.7051,102536.9624,102761.1293,103149.8905,102581.3523,99936.97687,102466.1741,102734.059,103585.712,103469.246,100063.4365,3724,19.79527831,18.2134846,24.24574496,-1093.37,-22.734559056602215,75.48368347,76.20922834,102288.29999999999,103289.45000000001,102788.875,103289.45000000001,102646.5268,102403.8526,100317.33670941867,-0.0491152185,15945.37428,0.912990383,100812.31076,99936.97687,103585.712,-1.3857573606844602,-1.5389559592184816,-1.0734373299342228,-1.2430411097765568,-0.9060666780713543,102448.6607
1747119600000,102549.9,102942.8,102546,102672.3,220.007186,22606648.48069913,short,104069.1709156,47.65,690.0918034,102607.8,103846.5328,101369.0672,0.5260346703,102753.4442,104133.6278068,101373.2605932,-539.4846154,-795.9380342,256.4534188,-19.43452628,-15.1690525,-15.59585099,45.67,5625.770971999999,102488.2817,102556.2963,102753.0539,103132.8337,102583.1532,99964.19401,102503.6516,102728.1772,103562.202,103471.541,100105.432,3644,18.89629883,20.13485264,23.26369977,-942.57,14.304122581762854,80.56547372,76.00404108,102288.29999999999,103289.45000000001,102788.875,103289.45000000001,102647.0422,102444.6756,100322.20304734693,-0.04914144254,26928.87957,0.800534868,100851.3625448,99964.19401,103562.202,-1.2430411097765568,-1.1870627789155044,-0.8082093188526287,-1.0628467042242535,-0.8079276649304792,102493.3885
1747123200000,102672.3,102956.9,102548.1,102718.9,292.401087,30046079.18186077,short,104069.1709156,48.18,676.6969556,102548.81,103639.5546,101458.0654,0.5779696732,102734.059,104087.45291119999,101380.6650888,-472.3576923,-763.423433,291.0657407,-24.73301256,-14.56223619,-15.67706693,63.01,5918.1720589999995,102539.5302,102579.5254,102749.949,103118.0504,102585.8413,99991.60402,102542.7876,102727.2937,103539.18,103470.518,100145.4785,3596,18.03427945,19.41726598,22.26322108,-713.05,31.474951227058224,75.26698744,77.10538154,102196.54999999999,103289.45000000001,102743,103289.45000000001,102648.4794,102482.2141,100328.69643246307,-0.04857589082,13625.89065,0.03798211724,100935.020043008,99991.60402,103539.18,-1.0628467042242535,-1.128100479825851,-0.7781780467846371,-0.9746401419059894,-0.6283671568232975,102538.4908
1747126800000,102718.9,103600,102718.9,103450,1701.568386,175927007.03644129,short,104069.1709156,55.65,686.430434,102505.165,103350.7736,101659.5564,1.058671589,102728.1772,104101.03806800001,101355.316332,-354.4064103,-709.230057,354.8236467,-6.932248822,-12.92116289,-15.4857462,68.78,7619.740444999999,102741.8569,102703.8789,102813.59,103129.9057,102602.9533,100026.0159,102707.7353,102796.1229,103540.258,103475.151,100193.0995,4718,17.39377911,24.27949715,20.24255993,-495.03,155.2773060716311,93.06775118,82.96673745,102518.1,102739.55,102628.82500000001,103289.45000000001,102664.5098,102631.7295,100373.72303961786,-0.04672300542,1244016.647,0.9215124276,101056.33284042752,100026.0159,103540.258,-0.9746401419059894,-0.3604153992085427,-0.5767636800960939,-0.1354527060600069,2.5423983472774414,102720.7927
1747130400000,103450,103617.2,103264.3,103560,379.557304,39267095.65430824,short,104069.1709156,56.66,670.5480323,102542.825,103498.7117,101586.9383,1.03205835,102727.2937,104068.3897646,101386.19763539999,-255.7307692,-633.5450142,377.814245,-2.62265016,-10.8376909,-15.01681865,68.17,7999.297748999999,102923.6664,102826.1819,102881.4455,103145.2662,102621.9048,100061.1799,102862.6925,102868.8731,103535.112,103478.446,100239.6835,4974,16.82674623,23.54841542,19.4799466,-281.02,193.2687476405006,97.37734984,88.57069615,102526.7,102705.4,102616.04999999999,103289.45000000001,102682.4196,102786.0577,100384.34507111543,-0.04382502733,41751.30344,0.6781875593,101259.82621319332,100061.1799,103535.112,-0.1354527060600069,-0.3280240604060242,0.02366913470968574,-0.0009365345226183827,-0.44989783423096064,102888.6341
1747134000000,103560,103825.6,103454.5,103725.1,310.237842,32152738.68660082,short,104069.1709156,58.2,656.2886022,102602.72,103688.4805,101516.9595,1.016863526,102796.1229,104108.7001044,101483.5456956,-149.7378205,-550.011396,400.2735755,-4.206076839,-8.952553211,-14.24517263,68.38,8309.535591,103101.7628,102954.5988,102958.1413,103165.9746,102643.7502,100097.6369,103019.4939,102950.4185,103522.968,103479.197,100288.05,5116,16.64134316,24.88272125,18.6828586,-30.93,191.19321738391895,95.79392316,95.41300806,102630.9,102692.95000000001,102661.925,103289.45000000001,102703.2732,102956.8423,100393.4970153624,-0.04002903968,51220.26771,0.9118786471,101495.56359187399,100097.6369,103522.968,-0.0009365345226183827,-0.0716831350239854,0.2427444649483293,0.19740443441155583,-0.6063954000673457,103055.9273
1747137600000,103725.1,103980,103333,103683.6,933.584707,96824206.65381175,short,104069.1709156,57.65,655.8462878,102644.33,103824.6868,101463.9732,0.9402355288,102868.8731,104180.5656756,101557.1805244,0.8025641025,-451.8900285,452.6925926,-11.65185942,-7.010774787,-13.14305767,57.76,7375.950884,103231.0599,103058.7418,103024.0921,103184.4612,102664.3413,100133.3181,103140.2405,103020.2453,103503.81,103486.401,100334.328,5195,16.71659196,24.81003855,17.34990904,160.43,162.20324886312036,88.34814058,93.83980453,102792.95,102692.95000000001,102742.95000000001,103289.45000000001,102722.8798,103109.2256,100420.70855786602,-0.03570574268,-38743.76534,1.381331346,101775.16796084911,100133.3181,103503.81,0.19740443441155583,0.11466988172104534,0.11975754765769082,0.15337047024957554,0.7768512458373122,103181.4618
1747141200000,103683.6,103928,103388.9,103710.1,627.516953,65054479.05712465,short,104069.1709156,57.92,650.2869408,102701.275,103968.7034,101433.8466,0.8979810615,102950.4185,104250.9923816,101649.8446184,112.9737179,-345.2363248,458.2100427,-10.61011086,-4.921174377,-11.82557584,59.8,8003.467837,103337.5133,103151.793,103086.4565,103203.234,102685.0494,100168.908,103243.8513,103085.9457,103485.1,103494.245,100379.1895,5315,16.78646585,23.31725272,16.30598892,349.03,139.62329152413096,89.38988914,91.17731763,103124.05,102683.65,102903.85,103289.45000000001,102742.6242,103247.5744,100438.80241951172,-0.03106575178,16629.19925,1.288890365,102083.84444633023,100168.908,103485.1,0.15337047024957554,0.05509406354995728,0.1861615136094944,0.18729224514169546,0.0907849833491791,103287.1895
1747144800000,103710.1,103749.9,102817.2,103193,653.561856,67444942.67234976,short,104069.1709156,50.95,663.7351817,102779.82,103961.8236,101597.8164,0.6747795015,103020.2453,104347.7156634,101692.77493659999,233.974359,-231.1881766,465.1625356,-30.93796682,-3.645529542,-10.43124965,57.49,7349.905981,103305.3992,103157.6797,103096.1422,103202.8685,102695.1078,100198.9984,103234.6056,103096.1414,103456.922,103492.46,100421.3135,5188,15.60889908,20.96676094,20.84111529,395.02,72.09547864345846,69.06203318,82.26668763,103155,102683.65,102919.325,103289.45000000001,102751.6317,103289.45,100455.00376674913,-0.02688928436,-337956.8357,1.103494088,102349.306223844,100198.9984,103456.922,0.18729224514169546,-0.1515709639896238,-0.4319038214259881,-0.4019609988936007,0.1479966317566033,103268.3516
